"sid","bid","date"
8,8,11091
23,2,11091
38,10,11091
6,9,11091
19,6,11091
23,3,11091
31,2,11091
17,9,11091
40,3,11091
18,1,11091
27,4,11091
34,2,11091
14,5,11091
6,4,11091
39,2,11091
1,2,11091
33,9,11091
21,7,11091
34,3,11091
27,2,11091
40,3,11091
5,2,11091
38,8,11091
39,4,11091
21,9,11091
1,1,11091
28,10,11091
12,9,11091
32,10,11091
25,8,11091
31,9,11091
26,3,11091
35,5,11091
16,5,11091
9,1,11091
12,4,11091
2,2,11091
8,8,11091
12,9,11091
17,6,11091
15,7,11091
2,5,11091
8,9,11091
39,4,11091
30,4,11091
40,4,11091
16,6,11091
19,2,11091
18,1,11091
5,5,11091
9,5,11092
40,9,11092
12,6,11092
36,5,11092
6,2,11092
1,8,11092
15,6,11092
34,9,11092
35,2,11092
39,6,11092
2,3,11092
40,9,11092
10,8,11092
23,4,11092
28,4,11092
9,10,11092
1,10,11092
13,7,11092
22,9,11092
8,4,11092
8,3,11092
26,4,11092
18,8,11092
27,4,11092
20,3,11092
8,4,11092
37,4,11092
32,3,11092
35,2,11092
4,3,11092
34,10,11092
2,8,11092
12,7,11092
4,10,11092
1,6,11092
39,2,11092
11,9,11092
16,8,11092
14,2,11092
27,6,11092
38,6,11092
39,8,11092
5,9,11092
4,8,11092
3,1,11092
5,5,11092
39,2,11092
21,3,11092
8,2,11092
11,2,11092
